Entry_Date,Exit_Date,Ticker,Direction,Entry_Price,Exit_Price,Shares,P&L,Win
2025-07-01,2025-07-07,D,SHORT,56.35871124267578,55.175811767578125,67,79.17501056671142,True
2025-07-01,2025-07-07,CTAS,LONG,223.31793212890625,216.57786560058594,16,-107.73322338867187,False
2025-07-01,2025-07-07,TECH,SHORT,51.93220901489258,51.393741607666016,72,38.730883666992185,True
2025-07-01,2025-07-07,FANG,SHORT,138.24612426757812,135.99789428710938,27,60.64150726318359,True
2025-07-07,2025-07-14,MA,LONG,562.7669677734375,551.4625244140625,31,-350.0873063964844,False
2025-07-07,2025-07-14,CPAY,LONG,332.1199951171875,326.3900146484375,64,-366.35203125,False
2025-07-07,2025-07-14,COP,SHORT,90.94886779785156,92.54083251953125,295,-469.1599633026123,False
2025-07-07,2025-07-14,SOLV,LONG,76.23999786376953,74.06999969482422,352,-763.0755161132812,False
2025-07-08,2025-07-14,MOH,LONG,231.02000427246094,218.9499969482422,16,-192.9269970703125,False
2025-07-08,2025-07-14,COST,LONG,983.0853271484375,978.1690063476562,3,-14.734213439941406,False
2025-07-08,2025-07-14,ALL,LONG,191.54722595214844,194.32040405273438,19,52.63769352722168,True
2025-07-08,2025-07-14,MCK,LONG,722.5722045898438,714.0503540039062,5,-42.56664367675781,False
2025-07-09,2025-07-14,BIO,SHORT,253.07000732421875,250.80999755859375,1,2.257749755859375,True
2025-07-09,2025-07-14,BR,LONG,236.8275909423828,234.10977172851562,1,-2.7151013946533205,False
2025-07-09,2025-07-14,TSCO,SHORT,56.74870681762695,57.57201385498047,4,-3.2899349212646483,False
2025-07-14,2025-07-21,MA,LONG,551.4625244140625,553.0879516601562,31,50.337856384277345,True
2025-07-14,2025-07-21,TECH,SHORT,52.47067642211914,50.12734603881836,400,936.3948211669922,True
2025-07-14,2025-07-21,MCK,LONG,714.0503540039062,709.6995849609375,36,-156.47105786132812,False
2025-07-14,2025-07-21,COST,LONG,978.1690063476562,944.9122314453125,26,-863.8114713134765,False
2025-07-15,2025-07-21,AIZ,LONG,183.94012451171875,184.6943817138672,21,15.82356184387207,True
2025-07-15,2025-07-21,BRK-B,LONG,470.1300048828125,474.4100036621094,8,34.205750244140624,True
2025-07-15,2025-07-21,IDXX,SHORT,526.6599731445312,520.8699951171875,7,40.489316345214846,True
2025-07-15,2025-07-21,MOH,LONG,214.61000061035156,176.44000244140625,18,-686.3729070739746,False
2025-07-21,2025-07-28,CTAS,LONG,220.34117126464844,219.4053192138672,79,-73.85837969970703,False
2025-07-21,2025-07-28,KMI,LONG,26.526294708251953,26.6241397857666,787,76.92707192802429,True
2025-07-21,2025-07-28,WAB,LONG,209.3580780029297,196.52008056640625,124,-1590.3197704467773,False
2025-07-21,2025-07-28,J,LONG,136.562255859375,142.62437438964844,191,1156.7067746429443,True
2025-07-22,2025-07-28,EQT,LONG,54.01384735107422,51.59843444824219,65,-156.84483684539794,False
2025-07-22,2025-07-28,STZ,SHORT,172.9850311279297,170.26242065429688,20,54.39775726318359,True
2025-07-22,2025-07-28,COST,LONG,938.9788818359375,931.380126953125,3,-22.773468383789062,False
2025-07-22,2025-07-28,FAST,SHORT,46.61635208129883,46.339107513427734,75,20.7725492477417,True
2025-07-28,2025-08-04,BRO,LONG,102.20368957519531,92.35993194580078,169,-1661.931444328308,False
2025-07-28,2025-08-04,CB,LONG,265.989990234375,267.739990234375,78,136.3635,True
2025-07-28,2025-08-04,COST,LONG,931.380126953125,954.0203247070312,27,610.6740540161132,True
2025-07-28,2025-08-04,TMUS,LONG,236.18331909179688,238.97955322265625,109,304.4847307434082,True
2025-07-29,2025-08-04,ABT,SHORT,126.80097198486328,128.7028350830078,29,-55.09887581634521,False
2025-07-29,2025-08-04,UAL,LONG,90.6500015258789,87.01000213623047,40,-145.45437561035158,False
2025-07-29,2025-08-04,TYL,LONG,552.5,602.989990234375,6,302.63700146484376,True
2025-07-29,2025-08-04,WMT,LONG,97.90130615234375,99.15580749511719,37,46.37013313293457,True
2025-08-04,2025-08-11,BR,LONG,246.4490966796875,261.3376159667969,69,1026.2805229797364,True
2025-08-04,2025-08-11,FITB,SHORT,40.71938705444336,40.562129974365234,507,79.64961026000977,True
2025-08-04,2025-08-11,ESS,LONG,249.61680603027344,247.19467163085938,103,-249.23036329650878,False
2025-08-04,2025-08-11,MSI,LONG,437.5180358886719,458.37115478515625,59,1229.1036808776855,True
2025-08-05,2025-08-11,JKHY,LONG,164.86441040039062,157.4261016845703,21,-156.04827854919432,False
2025-08-05,2025-08-11,CB,LONG,267.67999267578125,271.0,13,43.116935119628906,True
2025-08-05,2025-08-11,CARR,LONG,65.84329223632812,64.35542297363281,53,-78.77821385192871,False
2025-08-05,2025-08-11,LUV,LONG,29.62389373779297,28.772403717041016,118,-100.37534662628174,False
2025-08-11,2025-08-18,JKHY,LONG,157.4261016845703,159.72015380859375,111,254.38514598083495,True
2025-08-11,2025-08-18,CARR,LONG,64.35542297363281,65.95240783691406,326,520.0964483642579,True
2025-08-11,2025-08-18,LW,LONG,51.342708587646484,53.9769401550293,511,1344.7462386016846,True
2025-08-11,2025-08-18,MPC,LONG,156.9219512939453,160.95904541015625,167,673.5205226898194,True
2025-08-12,2025-08-18,AJG,LONG,289.2525634765625,293.0940246582031,12,46.05143664550781,True
2025-08-12,2025-08-18,SO,LONG,92.46021270751953,92.09237670898438,37,-13.59632201385498,False
2025-08-12,2025-08-18,VRSN,LONG,261.4561462402344,266.0586242675781,13,59.77238214111328,True
2025-08-12,2025-08-18,MET,LONG,76.01100158691406,77.18254089355469,45,52.6665495300293,True
2025-08-18,2025-08-25,VRSN,LONG,266.0586242675781,265.5701599121094,67,-32.694384704589844,False
2025-08-18,2025-08-25,SO,LONG,92.09237670898438,92.37008666992188,234,64.91914672851563,True
2025-08-18,2025-08-25,MDLZ,LONG,60.786678314208984,60.904632568359375,443,52.20148085403442,True
2025-08-18,2025-08-25,DLTR,SHORT,112.05999755859375,111.80000305175781,240,62.33628295898438,True
2025-08-19,2025-08-25,MMC,LONG,209.9868927001953,206.08441162109375,17,-66.27583616638184,False
2025-08-19,2025-08-25,GL,LONG,136.23890686035156,138.84873962402344,26,67.78779620361328,True
2025-08-19,2025-08-25,BRO,LONG,96.67762756347656,96.5179672241211,37,-5.901525123596191,False
2025-08-19,2025-08-25,VRSK,LONG,269.9842224121094,266.0591125488281,13,-50.975401794433594,False
2025-08-25,2025-09-02,VRSK,LONG,266.0591125488281,263.9969482421875,67,-138.02684353637696,False
2025-08-25,2025-09-02,VRSN,LONG,265.5701599121094,272.35919189453125,81,549.3616789855957,True
2025-08-25,2025-09-02,DAL,LONG,60.22593307495117,60.9437370300293,447,320.53750955200195,True
2025-08-25,2025-09-02,KLAC,LONG,878.0767211914062,844.9323120117188,30,-993.3379431152343,False
2025-08-26,2025-09-02,MDLZ,LONG,60.99310302734375,60.73753356933594,61,-15.574147201538086,False
2025-08-26,2025-09-02,FTV,LONG,48.39666748046875,47.249359130859375,77,-88.25440017700195,False
2025-08-26,2025-09-02,TECH,SHORT,56.7134895324707,53.34803009033203,66,221.8982028579712,True
2025-08-26,2025-09-02,DLTR,SHORT,111.9800033569336,111.3499984741211,33,20.769370971679688,True
2025-09-02,2025-09-08,GEN,LONG,29.36189079284668,29.76997184753418,610,248.68051391601563,True
2025-09-02,2025-09-08,EA,LONG,171.2897186279297,167.90289306640625,125,-422.92984199523926,False
